Jevin Frett,WR,30,382,12.7,46,2
Hal Presley,WR,32,382,11.9,40,4
Ja'Mori Maclin,WR,16,380,23.8,53,2
Robert Lewis,WR,22,379,17.2,53,6
Jamal Turner,TE,29,378,13.0,69,8
Theo Wease Jr.,WR,19,378,19.9,61,4
Damon Ward,WR,26,378,14.5,56,3
Moochie Dixon,WR,28,378,13.5,47,3
Deuce Vaughn,RB,42,378,9.0,80,3
Bryan Thompson,WR,25,377,15.1,38,0
Cameron Latu,TE,30,377,12.6,38,4
Jacob Copeland,WR,26,376,14.5,45,2
Roman Wilson,WR,25,376,15.0,61,4
Colbie Young,WR,32,376,11.8,71,5
Luther Burden III,WR,45,375,8.3,35,6
Cameron Sullivan-Brown,WR,27,373,13.8,53,2
Beaux Collins,WR,22,373,17.0,59,5
Tanner Koziol,TE,35,373,10.7,30,7
Mavin Anderson,WR,37,372,10.1,47,3
Lavel Davis Jr.,WR,16,371,23.2,62,2
Dalton Stroman,WR,19,371,19.5,55,4
Dylan Goffney,WR,18,369,20.5,47,2
David Martin-Robinson,TE,33,366,11.1,30,2
Dont'e Thornton Jr.,WR,17,366,21.5,58,1
DJ England-Chisolm,WR,23,366,15.9,98,4
Kyle Ford,WR,20,365,18.3,70,2
Ahmari Huggins-Bruce,WR,31,365,11.8,55,2
Brayden Cosper,WR,30,363,12.1,40,1
Ja'Shaun Poke,WR,31,362,11.7,46,1
Brenton Strange,TE,32,362,11.3,67,5
Kam Brown,WR,24,362,15.1,51,3
Jayden Thomas,WR,25,361,14.4,38,3
Brian Thomas Jr.,WR,31,361,11.6,57,5
Tre Mosley,WR,35,359,10.3,43,4
Montana Lemonious-Craig,WR,23,359,15.6,69,3
Ja'Cyais Credle,WR,28,359,12.8,57,2
Kamari Morales,TE,29,358,12.3,55,4
Chase Roberts,WR,22,357,16.2,59,3
CJ Lewis,WR,26,352,13.5,34,2
Jabre Barber,WR,25,351,14.0,60,2
Michael Wiley,RB,36,349,9.7,38,3
Mekhi Shaw,WR,29,349,12.0,51,3
Kris Mitchell,WR,23,348,15.1,55,4
John Humphreys,WR,29,348,12.0,53,1
Ta'ron Keith,RB,35,348,9.9,42,4
Jaden Walley,WR,34,348,10.2,47,3
Eli Pancol,WR,23,347,15.1,81,0
Jamari Gassett,WR,28,347,12.4,65,2
Jordan Smith,TE,25,346,13.8,47,4
Jaylen Dixon,WR,33,344,10.4,31,3
Jehlani Galloway,WR,28,344,12.3,34,0
Trey Cleveland,WR,22,344,15.6,58,0
Kordell David,WR,24,343,14.3,70,4
Malachi Carter,WR,23,342,14.9,59,2
Jack Westover,TE,31,342,11.0,27,1
Keyon Lesane,WR,31,342,11.0,44,2
Jaylen Johnson,WR,26,340,13.1,38,4
Lorenzo Styles Jr.,CB,30,340,11.3,54,1
Michael Brown-Stephens,WR,22,338,15.4,49,0
Marcus Rosemy-Jacksaint,WR,29,337,11.6,28,2
Kobe Prentice,WR,31,337,10.9,47,2
Jalen Walthall,WR,27,333,12.3,31,1
Traeshon Holden,WR,25,331,13.2,33,6
Jordan Smart,WR,21,331,15.8,53,1
Mycah Pittman,WR,32,330,10.3,25,3
Henry Pearson,TE,25,329,13.2,40,5
Giles Jackson,WR,28,328,11.7,27,1
Theo Johnson,TE,20,328,16.4,48,4
Shemar Thornton,WR,30,327,10.9,38,0
Josh Whyle,TE,32,326,10.2,35,3
Justin Robinson,WR,30,326,10.9,25,3
Kobe Paysour,WR,29,324,11.2,49,4
Zach Charbonnet,RB,37,321,8.7,44,0
Jaydn Ott,RB,46,321,7.0,27,3
Kearis Jackson,WR,21,320,15.2,35,0
Isaac Rex,TE,22,320,14.5,43,6
Tyjon Lindsey,WR,30,317,10.6,47,1
Caleb Phillips,TE,31,317,10.2,40,3
E.J. Jenkins,TE,17,316,18.6,43,3
Blake Watson,RB,37,314,8.5,36,2
Micah Bernard,RB,34,314,9.2,29,1
Bijan Robinson,RB,19,314,16.5,42,2
Koy Moore,WR,20,314,15.7,46,1
CJ Dippre,TE,30,314,10.5,26,3
Devin Ravenel,WR,24,313,13.0,43,7
Jalen McGaughy,WR,20,313,15.6,54,2
Keontez Lewis,WR,20,313,15.6,51,3
Geordon Porter,WR,22,312,14.2,69,2
