,,,,,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Kicking,Kicking,Other,Other,,-additional
Rk,Player,School,Conf,G,Rush,Rec,Int,FR,PR,KR,Oth,Tot,XPM,FGM,2PM,Sfty,Pts,-9999
193,Noah Cain*,LSU,SEC,14,10,0,0,0,0,0,0,10,0,0,0,0,60,noah-cain-1
194,Stetson Bennett*,Georgia,SEC,15,10,0,0,0,0,0,0,10,0,0,0,0,60,stetson-bennett-1
195,Tank Bigsby,Auburn,SEC,12,10,0,0,0,0,0,0,10,0,0,0,0,60,tank-bigsby-1
196,Zach Evans*,Ole Miss,SEC,12,9,1,0,0,0,0,0,10,0,0,0,0,60,zach-evans-1
197,Kimani Vidal*,Troy,Sun Belt,14,10,0,0,0,0,0,0,10,0,0,0,0,60,kimani-vidal-1
198,Palmer Domschke,Western Michigan,MAC,12,0,0,0,0,0,0,0,0,21,13,0,0,60,palmer-domschke-1
199,Jude McAtamney,Rutgers,Big Ten,12,0,0,0,0,0,0,0,0,23,12,0,0,59,jude-mcatamney-1
200,Anders Carlson,Auburn,SEC,9,0,0,0,0,0,0,0,0,22,12,0,0,58,anders-carlson-1
201,Ethan Sanchez,Old Dominion,Sun Belt,11,0,0,0,0,0,0,0,0,28,10,0,0,58,ethan-sanchez-1
202,Camden Price,Temple,American,8,0,0,0,0,0,0,0,0,18,13,0,0,57,camden-price-1
203,Jace Gilbert,Iowa State,Big 12,12,0,0,0,0,0,0,0,0,21,12,0,0,57,jace-gilbert-1
204,Garrett Shrader*,Syracuse,ACC,12,9,0,0,0,0,0,0,9,0,0,1,0,56,garrett-shrader-1
205,Tyler Scott*,Cincinnati,American,12,0,9,0,0,0,0,0,9,0,0,1,0,56,tyler-scott-3
206,Frank Harris*,UTSA,CUSA,14,9,0,0,0,0,0,0,9,0,0,1,0,56,frank-harris-3
207,Jalen McMillan*,Washington,Pac-12,13,0,9,0,0,0,0,0,9,0,0,1,0,56,jalen-mcmillan-1
208,Charlie Ham*,Duke,ACC,10,0,0,0,0,0,0,0,0,29,9,0,0,56,charlie-ham-1
209,Joseph Bulovas,Vanderbilt,SEC,12,0,0,0,0,0,0,0,0,34,7,0,0,55,joseph-bulovas-1
210,Jahmal Banks*,Wake Forest,ACC,12,0,9,0,0,0,0,0,9,0,0,0,0,54,jahmal-banks-1
211,Taylor Morin*,Wake Forest,ACC,13,0,9,0,0,0,0,0,9,0,0,0,0,54,taylor-morin-1
212,Brandon Thomas*,Memphis,American,9,9,0,0,0,0,0,0,9,0,0,0,0,54,brandon-thomas-5
213,Xavier Worthy*,Texas,Big 12,13,0,9,0,0,0,0,0,9,0,0,0,0,54,xavier-worthy-1
214,Trey Palmer,Nebraska,Big Ten,12,0,9,0,0,0,0,0,9,0,0,0,0,54,trey-palmer-1
215,Ari Broussard*,Rice,CUSA,7,9,0,0,0,0,0,0,9,0,0,0,0,54,ari-broussard-1
216,Elijah Spencer,Charlotte,CUSA,12,0,9,0,0,0,0,0,9,0,0,0,0,54,elijah-spencer-1
217,Grant Dubose,Charlotte,CUSA,12,0,9,0,0,0,0,0,9,0,0,0,0,54,grant-dubose-1
218,LaJohntay Wester,Florida Atlantic,CUSA,12,1,8,0,0,0,0,0,9,0,0,0,0,54,lajohntay-wester-1
219,Marquis Crosby,Louisiana Tech,CUSA,12,9,0,0,0,0,0,0,9,0,0,0,0,54,marquis-crosby-1
220,Dae Dae Hunter*,Liberty,Ind,9,8,1,0,0,0,0,0,9,0,0,0,0,54,dae-dae-hunter-1
221,Michael Mayer*,Notre Dame,Ind,12,0,9,0,0,0,0,0,9,0,0,0,0,54,michael-mayer-1
222,Shedro Louis*,Liberty,Ind,12,8,0,0,0,0,1,0,9,0,0,0,0,54,shedro-louis-1
223,Alex Adams,Akron,MAC,11,0,9,0,0,0,0,0,9,0,0,0,0,54,alex-adams-1
