DYLAN,FAIRCHILD,382,Georgia,5.15
JAYLIN,DAVIES,383,UCLA,4.60
KAMARRO,EDMONDS,384,East Carolina,4.50
KEANU,KOHT,385,Alabama,4.70
LANDON,TENGWALL,386,Penn State,5.40
MARCUS,TATE,387,Clemson,5.50
MONKELL,GOODWINE,388,Alabama,4.80
NYLAND,GREEN,389,Georgia,4.50
RAESJON,DAVIS,390,USC,4.64
RAHEEM,ANDERSON,391,Michigan,5.10
ROCCO,SPINDLER,392,Notre Dame,5.20
SAI'VION,JONES,393,LSU,4.72
RYAN,LINTHICUM,394,Clemson,5.05
SAVION,BYRD,395,Oklahoma,5.15
TERRENCE,FERGUSON II,396,Alabama,5.30
TY,THOMPSON,397,Oregon,4.85
BRANDEN,JENNINGS,398,UCF,4.80
JAKE,GARCIA,399,Missouri,4.85
TOMMI,HILL,400,Nebraska,4.55
JAY,TOIA,401,UCLA,5.20
CHRISTIAN,LEARY,402,Georgia Tech,4.40
DONT'E,THORNTON,403,Tennessee,4.43
TYWONE,MALONE,404,Ole Miss,5.00
MILLER,MOSS,405,USC,4.85
LADD,MCCONKEY,406,Georgia,4.59
LEE,HUNTER,407,UCF,5.20
EVAN,PRYOR,408,Ohio State,4.38
BRAM,WALDEN,409,Arizona State,4.95
GARRETT,NUSSMEIER,410,LSU,4.82
SATAOA,LAUMEA,411,Utah,5.25
BRIAN,THOMAS JR.,412,LSU,4.47
GARRETT,DELLINGER,413,LSU,
DACARI,COLLINS,414,NC State,
DAVID,DANIEL-SISAVANH,415,Georgia,
JACOLBY,GEORGE,416,Miami,
JAYDEN,BALLARD,417,Ohio State,
TREVION,COOLEY,418,Georgia Tech,
TYREAK,SAPP,419,Florida,
MICAH,BERNARD,420,Utah,4.38
PATRICK,MCMORRIS,421,San Diego State,4.53
JESUS,GIBBS,422,Towson,4.65
JAYLON,HUTCHINGS,423,Texas Tech,4.80
KYRON,DRONES,424,Virginia Tech,4.72
KENDAL,DANIELS,425,Oklahoma State,
DEION,COLZIE,426,Notre Dame,
RANEIRIA,DILLWORTH,427,East Carolina,
CODY,JACKSON,428,Houston,
CADE,DENHOFF,429,Clemson,
PRESTON,STONE,430,SMU,4.90
CHRISTIAN,CLAYTON,431,UTSA,4.90
Shadrach,Banks,432,TCU,
KEITH,BROWN,433,Oregon,
GABRIEL,RUBIO,434,Notre Dame,
JULIEN,SIMON,435,Tulsa,
BRYCE,CARTER,436,Virginia,
JALIL,FAROOQ,437,Oklahoma,
KEYON,WARE-HUDSON,438,Oregon,
JONATHAN,JEFFERSON,439,Georgia,
JP,BENZSCHAWEL,440,Wisconsin,
MARCUS,BURRIS JR.,441,Texas A&M,
JAHVAREE,RITZIE,442,North Carolina,
SAWYER,ROBERTSON,443,Baylor,4.85
AARON,WILLIS,444,Houston,
JAGER,BURTON,445,Kentucky,
TREVIN,WALLACE,446,Kentucky,
HARRISON,MEVIS,447,Missouri,
RILEY,MAHLMAN,448,Wisconsin,
KAIDON,SALTER,449,Liberty,
QUAYDARIUS,DAVIS,450,Jackson State,
J. MICHAEL,STURDIVANT,451,UCLA,
ROMELLO,BRINSON,452,SMU,
CARLOS,DEL RIO-WILSON,453,Syracuse,
PRINCE,KOLLIE,454,Notre Dame,
BEHREN,MORTON,455,Texas Tech,
STEVE,STEPHENS IV,456,Oregon,4.48
TYRION,INGRAM-DAWKINS,457,Georgia,
LUKE,ALTMYER,458,Illinois,
LATRELL,MCCUTCHIN,459,USC,
MALIK,MCCLAIN,460,Penn State,
CEDRIC,JOHNSON,461,Ole Miss,4.65
JABARI,ISHMAEL,462,Miami,
JOSH,SIMMONS,463,San Diego State,
WILFREDO,AYBAR,464,Stanford,
ZAIRE,PATTERSON,465,Clemson,
KHYREE,JACKSON,466,Oregon,
SETH,HENIGAN,467,Memphis,
FRANCISCO,MAUIGOA,468,Miami,
DE'ZHAUN,STRIBLING,469,Oklahoma State,
CADE,ZIMMERLY,470,Bowling Green,
KAMRYN,WAITES,471,Florida,
RODERICK,BROWN,472,North Texas,
JULIAN,FLEMING,473,Ohio State,4.35
DEMARKCUS,BOWMAN,474,UCF,4.40
MAX,JOHNSON,475,Texas A&M,4.70
DEMOND,DEMAS,476,Texas A&M,4.31
HAYNES,KING,477,Georgia Tech,4.45
HUDSON,CARD,478,Purdue,4.62
TRAESHON,HOLDEN,479,Oregon,4.50
FRED,DAVIS II,480,UCF,4.29
JOSH,BRAUN,481,Arkansas,
MCKINNLEY,JACKSON,482,Texas A&M,4.98
JERMAINE,BURTON,483,Alabama,4.31
DEMON,CLOWNEY,484,Charlotte,4.55
JO'QUAVIOUS,MARKS,485,Mississippi State,
JORDAN,DAVIS,486,Mississippi State,4.78
DREW,PYNE,487,Arizona State,4.68
EDGERRIN,COOPER,488,Texas A&M,
TOSH,BAKER,489,Notre Dame,
ARIAN,SMITH,490,Georgia,4.28
WALKER,PARKS,491,Clemson,4.95
GEE,SCOTT JR.,492,Ohio State,4.49
CHRIS,TYREE,493,Notre Dame,4.29
CHIP,TRAYANUM,494,Ohio State,4.75
E.J.,WILLIAMS,495,Indiana,4.49
TROY,OMEIRE,496,Arizona State,4.56
JORDAN,JOHNSON,497,UCF,4.55
THEO,JOHNSON,498,Penn State,4.54
ANDREW,GENTRY,499,Michigan,5.30
TURNER,CORCORAN,500,Nebraska,4.95
JALEN,RIVERS,501,Miami,5.50
TREY,WEDIG,502,Wisconsin,5.30
CHAD,LINDBERG,503,Georgia,5.15
VERNON,BROUGHTON,504,Texas,4.90
CHRIS,MORRIS,505,Texas A&M,5.20
TONKA,HEMINGWAY,506,South Carolina,4.82
TYLER,BARON,507,Tennessee,4.60
JAYSON,JONES,508,Auburn,5.18
DEMONTE,CAPEHART,509,Clemson,4.75
JAYLEN,HARRELL,510,Michigan,4.55
JJ,PEGUES,511,Ole Miss,4.70
REGGIE,GRIMES,512,Oklahoma,4.77
CHANTZ,WILLIAMS,513,Miami,4.53
DESMOND,EVANS,514,North Carolina,4.90
DEREK,WINGO,515,Florida,4.62
DONELL,HARRIS JR.,516,Louisiana Monroe,4.65
DEMOUY,KENNEDY,517,Colorado,4.50
CODY,SIMON,518,Ohio State,4.50
MJ,SHERMAN,519,Nebraska,4.48
DWIGHT,MCGLOTHERN,520,Arkansas,4.49
RUBEN,HYPPOLITE II,521,Maryland,4.68
JALEN,KIMBER,522,Florida,4.38
DEMORIE,TATE,523,Florida State,4.42
KEY,LAWRENCE,524,Oklahoma,4.51
R.J.,MOTEN,525,Michigan,4.45
MALCOLM,GREENE,526,Clemson,4.47
JACK,MILLER III,527,Florida,
JAYDEN,DE LAURA,528,Arizona,4.82
STEPHEN,DIX JR.,529,Florida State,4.66
JA'QURIOUS,CONLEY,530,North Carolina,4.49
LADARIUS,TENNISON,531,Ole Miss,4.48
JORDAN,TOLES,532,Morgan State,4.46
JAKE,RENFRO,533,Wisconsin,
NATE,RUTCHENA,534,California,
JUNIOR,ANGILAU,535,Oregon,5.08
